,team1,date,matchday,stadium,result,goals,team2
43,Napoli,2022-04-30,Giornata n. 35,Casa,V,6,Sassuolo
47,Juventus,2022-05-01,Giornata n. 35,Casa,V,2,Venezia
49,Roma,2022-05-01,Giornata n. 35,Casa,N,0,Bologna
44,Milan,2022-05-01,Giornata n. 35,Casa,V,1,Fiorentina
37,Empoli,2022-05-01,Giornata n. 35,Casa,P,1,Torino
37,Udinese,2022-05-01,Giornata n. 35,Casa,P,1,Inter
48,Atalanta,2022-05-02,Giornata n. 35,Casa,N,1,Salernitana
36,Salernitana,2022-05-05,Giornata n. 20,Casa,V,2,Venezia
48,Inter,2022-05-06,Giornata n. 36,Casa,V,4,Empoli
38,Genoa,2022-05-06,Giornata n. 36,Casa,V,2,Juventus
45,Lazio,2022-05-07,Giornata n. 36,Casa,V,2,Sampdoria
37,Torino,2022-05-07,Giornata n. 36,Casa,P,0,Napoli
37,Sassuolo,2022-05-07,Giornata n. 36,Casa,N,1,Udinese
37,Hellas Verona,2022-05-08,Giornata n. 36,Casa,P,1,Milan
37,Salernitana,2022-05-08,Giornata n. 36,Casa,N,1,Cagliari
38,Venezia,2022-05-08,Giornata n. 36,Casa,V,4,Bologna
37,Spezia,2022-05-08,Giornata n. 36,Casa,P,1,Atalanta
41,Fiorentina,2022-05-09,Giornata n. 36,Casa,V,2,Roma
39,Udinese,2022-05-14,Giornata n. 37,Casa,P,2,Spezia
38,Hellas Verona,2022-05-14,Giornata n. 37,Casa,P,0,Torino
52,Roma,2022-05-14,Giornata n. 37,Casa,N,1,Venezia
39,Empoli,2022-05-14,Giornata n. 37,Casa,N,1,Salernitana
39,Cagliari,2022-05-15,Giornata n. 37,Casa,P,1,Inter
37,Bologna,2022-05-15,Giornata n. 37,Casa,P,1,Sassuolo
45,Napoli,2022-05-15,Giornata n. 37,Casa,V,3,Genoa
46,Milan,2022-05-15,Giornata n. 37,Casa,V,2,Atalanta
50,Juventus,2022-05-16,Giornata n. 37,Casa,N,2,Lazio
39,Sampdoria,2022-05-16,Giornata n. 37,Casa,V,4,Fiorentina
39,Torino,2022-05-20,Giornata n. 38,Casa,P,0,Roma
47,Lazio,2022-05-21,Giornata n. 38,Casa,N,3,Hellas Verona
40,Genoa,2022-05-21,Giornata n. 38,Casa,P,0,Bologna
