,id,h_team,h_goals,a_team,a_goals,result,date,matchday,h_total_shots,h_shots_on_target,a_total_shots,a_shots_on_target,h_goals_on_penalty,h_total_penalties,a_goals_on_penalty,a_total_penalties,h_completed_passings,h_total_passings,a_completed_passings,a_total_passings,h_corners,a_corners,h_fouls,h_yellow_cards,h_red_cards,a_yellow_cards,a_red_cards,a_fouls,h_percentage_possession,a_percentage_possession
0,97,Empoli,0,Inter,2,P,2021-10-27,Giornata n. 10,9.0,1.0,21.0,9.0,0,0,0,0,235.0,301.0,607.0,684.0,5.0,6.0,22.0,1,1,3,0,16.0,31.0,69.0
0,98,Cagliari,1,Roma,2,P,2021-10-27,Giornata n. 10,7.0,5.0,23.0,3.0,0,0,0,0,264.0,355.0,402.0,488.0,2.0,10.0,18.0,3,0,4,0,19.0,42.0,58.0
0,99,Napoli,3,Bologna,0,V,2021-10-28,Giornata n. 10,16.0,4.0,8.0,1.0,2,2,0,0,665.0,719.0,324.0,392.0,4.0,2.0,20.0,1,0,1,0,6.0,65.0,35.0
0,100,Torino,3,Sampdoria,0,V,2021-10-30,Giornata n. 11,16.0,5.0,5.0,1.0,0,0,0,0,515.0,620.0,238.0,359.0,4.0,5.0,20.0,2,0,4,1,10.0,63.0,37.0
0,101,Hellas Verona,2,Juventus,1,V,2021-10-30,Giornata n. 11,12.0,5.0,15.0,4.0,0,0,0,0,385.0,487.0,477.0,590.0,4.0,1.0,25.0,4,0,3,0,7.0,45.0,55.0
0,102,Atalanta,2,Lazio,2,N,2021-10-30,Giornata n. 11,17.0,3.0,8.0,5.0,0,0,0,0,531.0,634.0,395.0,489.0,6.0,2.0,14.0,1,0,3,0,15.0,56.0,44.0
0,103,Fiorentina,3,Spezia,0,V,2021-10-31,Giornata n. 11,26.0,11.0,3.0,0.0,1,1,0,0,419.0,491.0,334.0,403.0,7.0,4.0,10.0,4,0,3,0,23.0,55.0,45.0
0,104,Genoa,0,Venezia,0,N,2021-10-31,Giornata n. 11,19.0,4.0,6.0,2.0,0,0,0,0,404.0,537.0,235.0,328.0,12.0,4.0,16.0,1,0,3,0,16.0,62.0,38.0
0,105,Salernitana,0,Napoli,1,P,2021-10-31,Giornata n. 11,9.0,2.0,18.0,4.0,0,0,0,0,254.0,340.0,482.0,561.0,4.0,4.0,10.0,0,1,2,1,13.0,38.0,62.0
0,106,Inter,2,Udinese,0,V,2021-10-31,Giornata n. 11,15.0,5.0,9.0,5.0,0,0,0,0,592.0,668.0,267.0,350.0,6.0,4.0,11.0,0,0,2,0,16.0,66.0,34.0
